country,year,hourly_social_insurance_expenditures_and_labour_related_taxes_as_percentage_of_total_hourly_compensation_costs
arg,1996,19.899999618530273
arg,1997,18.799999237060547
arg,1998,18.700000762939453
arg,1999,17.5
arg,2000,16.899999618530273
arg,2001,16.399999618530273
arg,2002,17.399999618530273
arg,2003,17.399999618530273
arg,2004,17.399999618530273
arg,2005,17.399999618530273
arg,2006,17.399999618530273
arg,2007,17.399999618530273
arg,2008,17.399999618530273
arg,2009,17.399999618530273
arg,2010,17.399999618530273
arg,2011,17.399999618530273
arg,2012,17.399999618530273
arg,2013,17.399999618530273
aus,1996,17.799999237060547
aus,1997,18.299999237060547
aus,1998,18.5
aus,1999,18.899999618530273
aus,2000,18.700000762939453
aus,2001,19.5
aus,2002,20.700000762939453
aus,2003,21.200000762939453
aus,2004,21.5
aus,2005,21.299999237060547
aus,2006,20.799999237060547
aus,2007,20.600000381469727
aus,2008,20.600000381469727
aus,2009,20.299999237060547
aus,2010,20.0
aus,2011,19.799999237060547
aus,2012,19.799999237060547
aus,2013,19.899999618530273
aut,1996,27.0
aut,1997,27.0
aut,1998,27.100000381469727
aut,1999,27.100000381469727
aut,2000,26.899999618530273
aut,2001,26.0
aut,2002,25.700000762939453
aut,2003,25.399999618530273
aut,2004,25.200000762939453
aut,2005,25.299999237060547
aut,2006,25.399999618530273
aut,2007,25.5
aut,2008,25.700000762939453
aut,2009,25.799999237060547
aut,2010,25.899999618530273
aut,2011,25.899999618530273
aut,2012,26.0
aut,2013,26.0
bel,1996,31.0
bel,1997,31.0
bel,1998,31.100000381469727
bel,1999,31.0
bel,2000,32.5
bel,2001,30.799999237060547
bel,2002,30.700000762939453
bel,2003,30.5
bel,2004,30.399999618530273
bel,2005,30.799999237060547
bel,2006,31.299999237060547
bel,2007,31.700000762939453
bel,2008,32.099998474121094
bel,2009,32.099998474121094
bel,2010,32.20000076293945
bel,2011,32.20000076293945
bel,2012,32.20000076293945
bel,2013,32.20000076293945
bra,1996,33.900001525878906
bra,1997,33.5
bra,1998,34.0
bra,1999,32.70000076293945
bra,2000,32.5
bra,2001,32.70000076293945
bra,2002,32.400001525878906
bra,2003,32.900001525878906
bra,2004,32.0
bra,2005,32.79999923706055
bra,2006,32.400001525878906
bra,2007,32.099998474121094
bra,2008,32.5
bra,2009,32.099998474121094
bra,2010,32.0
bra,2011,32.79999923706055
bra,2012,31.899999618530273
bra,2013,31.899999618530273
can,1996,15.600000381469727
can,1997,15.399999618530273
can,1998,14.899999618530273
can,1999,14.800000190734863
can,2000,14.5
can,2001,15.399999618530273
can,2002,16.700000762939453
can,2003,17.5
can,2004,18.100000381469727
can,2005,18.399999618530273
can,2006,19.200000762939453
can,2007,18.799999237060547
can,2008,19.200000762939453
can,2009,20.0
can,2010,20.0
can,2011,20.0
can,2012,19.899999618530273
can,2013,20.0
cze,1996,26.100000381469727
cze,1997,26.200000762939453
cze,1998,26.299999237060547
cze,1999,26.399999618530273
cze,2000,27.100000381469727
cze,2001,27.100000381469727
cze,2002,27.299999237060547
cze,2003,27.399999618530273
cze,2004,27.600000381469727
cze,2005,26.600000381469727
cze,2006,26.799999237060547
cze,2007,26.799999237060547
cze,2008,26.600000381469727
cze,2009,27.299999237060547
cze,2010,27.0
cze,2011,26.600000381469727
cze,2012,26.600000381469727
cze,2013,26.600000381469727
dnk,1997,3.200000047683716
dnk,1998,3.200000047683716
dnk,1999,5.599999904632568
dnk,2000,5.300000190734863
dnk,2001,7.099999904632568
dnk,2002,8.5
dnk,2003,9.300000190734863
dnk,2004,9.699999809265137
dnk,2005,10.5
dnk,2006,10.100000381469727
dnk,2007,10.399999618530273
dnk,2008,10.199999809265137
dnk,2009,10.399999618530273
dnk,2010,10.600000381469727
dnk,2011,10.800000190734863
dnk,2012,10.899999618530273
dnk,2013,10.899999618530273
est,2000,25.600000381469727
est,2001,25.600000381469727
est,2002,25.600000381469727
est,2003,25.700000762939453
est,2004,25.700000762939453
est,2005,25.799999237060547
est,2006,25.899999618530273
est,2007,25.899999618530273
est,2008,26.0
est,2009,26.0
est,2010,26.0
est,2011,26.0
est,2012,26.0
est,2013,26.0
fin,1996,23.200000762939453
fin,1997,22.600000381469727
fin,1998,20.0
fin,1999,21.5
fin,2000,20.899999618530273
fin,2001,21.0
fin,2002,21.600000381469727
fin,2003,21.200000762939453
fin,2004,21.299999237060547
fin,2005,21.399999618530273
fin,2006,21.799999237060547
fin,2007,21.799999237060547
fin,2008,22.299999237060547
fin,2009,21.600000381469727
fin,2010,20.100000381469727
fin,2011,20.5
fin,2012,20.399999618530273
fin,2013,20.399999618530273
fra,1996,30.200000762939453
fra,1997,30.299999237060547
fra,1998,30.399999618530273
fra,1999,30.5
fra,2000,30.600000381469727
fra,2001,30.799999237060547
fra,2002,31.0
fra,2003,31.200000762939453
fra,2004,31.399999618530273
fra,2005,31.0
fra,2006,30.600000381469727
fra,2007,30.299999237060547
fra,2008,29.899999618530273
fra,2009,30.0
fra,2010,30.100000381469727
fra,2011,30.299999237060547
fra,2012,30.399999618530273
fra,2013,30.399999618530273
deu,1996,23.600000381469727
deu,1997,23.399999618530273
deu,1998,23.100000381469727
deu,1999,23.200000762939453
deu,2000,22.799999237060547
deu,2001,22.399999618530273
deu,2002,22.399999618530273
deu,2003,22.899999618530273
deu,2004,23.100000381469727
deu,2005,22.700000762939453
deu,2006,22.899999618530273
deu,2007,22.100000381469727
deu,2008,21.399999618530273
deu,2009,22.0
deu,2010,22.600000381469727
deu,2011,22.0
deu,2012,21.399999618530273
deu,2013,21.700000762939453
grc,1996,23.399999618530273
grc,1997,23.200000762939453
grc,1998,23.100000381469727
grc,1999,22.899999618530273
grc,2000,22.700000762939453
grc,2001,22.5
grc,2002,22.200000762939453
grc,2003,22.0
grc,2004,21.700000762939453
grc,2005,22.100000381469727
grc,2006,22.399999618530273
grc,2007,22.799999237060547
grc,2008,23.100000381469727
grc,2009,23.100000381469727
grc,2010,23.100000381469727
grc,2011,23.100000381469727
grc,2012,23.100000381469727
grc,2013,23.100000381469727
hun,1996,33.900001525878906
hun,1997,33.099998474121094
hun,1998,32.20000076293945
hun,1999,31.399999618530273
hun,2000,30.5
hun,2001,29.899999618530273
hun,2002,29.299999237060547
hun,2003,28.700000762939453
hun,2004,28.100000381469727
hun,2005,27.899999618530273
hun,2006,26.799999237060547
hun,2007,27.0
hun,2008,27.0
hun,2009,25.899999618530273
hun,2010,23.899999618530273
hun,2011,23.399999618530273
hun,2012,22.0
hun,2013,23.899999618530273
irl,1996,13.300000190734863
irl,1997,12.899999618530273
irl,1998,12.699999809265137
irl,1999,12.5
irl,2000,12.300000190734863
irl,2001,12.899999618530273
irl,2002,12.699999809265137
irl,2003,13.300000190734863
irl,2004,13.800000190734863
irl,2005,14.300000190734863
irl,2006,14.800000190734863
irl,2007,15.300000190734863
irl,2008,15.800000190734863
irl,2009,16.0
irl,2010,16.200000762939453
irl,2011,16.399999618530273
irl,2012,16.700000762939453
irl,2013,16.700000762939453
isr,1996,14.600000381469727
isr,1997,14.800000190734863
isr,1998,15.0
isr,1999,14.300000190734863
isr,2000,14.5
isr,2001,14.399999618530273
isr,2002,15.199999809265137
isr,2003,15.0
isr,2004,14.5
isr,2005,15.399999618530273
isr,2006,15.399999618530273
isr,2007,16.0
isr,2008,14.0
isr,2009,14.600000381469727
isr,2010,15.800000190734863
isr,2011,16.899999618530273
isr,2012,16.399999618530273
isr,2013,16.299999237060547
ita,1996,33.599998474121094
ita,1997,33.599998474121094
ita,1998,31.200000762939453
ita,1999,31.200000762939453
ita,2000,31.600000381469727
ita,2001,31.5
ita,2002,31.200000762939453
ita,2003,31.200000762939453
ita,2004,31.200000762939453
ita,2005,30.700000762939453
ita,2006,29.799999237060547
ita,2007,29.399999618530273
ita,2008,28.899999618530273
ita,2009,28.799999237060547
ita,2010,28.600000381469727
ita,2011,28.399999618530273
ita,2012,28.299999237060547
ita,2013,29.0
jpn,1996,15.100000381469727
jpn,1997,15.600000381469727
jpn,1998,16.0
jpn,1999,16.299999237060547
jpn,2000,16.600000381469727
jpn,2001,17.0
jpn,2002,17.200000762939453
jpn,2003,17.399999618530273
jpn,2004,17.600000381469727
jpn,2005,17.799999237060547
jpn,2006,17.899999618530273
jpn,2007,17.899999618530273
jpn,2008,18.0
jpn,2009,18.100000381469727
jpn,2010,18.100000381469727
jpn,2011,18.100000381469727
jpn,2012,18.100000381469727
jpn,2013,18.100000381469727
mex,1996,34.900001525878906
mex,1997,34.20000076293945
mex,1998,33.70000076293945
mex,1999,32.79999923706055
mex,2000,32.70000076293945
mex,2001,33.400001525878906
mex,2002,32.5
mex,2003,32.099998474121094
mex,2004,31.399999618530273
mex,2005,30.700000762939453
mex,2006,31.0
mex,2007,30.700000762939453
mex,2008,31.0
mex,2009,31.100000381469727
mex,2010,30.0
mex,2011,30.100000381469727
mex,2012,30.200000762939453
mex,2013,30.399999618530273
nld,1997,23.0
nld,1998,22.399999618530273
nld,1999,21.799999237060547
nld,2000,21.100000381469727
nld,2001,21.899999618530273
nld,2002,21.899999618530273
nld,2003,22.600000381469727
nld,2004,22.399999618530273
nld,2005,21.899999618530273
nld,2006,21.399999618530273
nld,2007,20.899999618530273
nld,2008,21.299999237060547
nld,2009,21.399999618530273
nld,2010,21.5
nld,2011,21.700000762939453
nld,2012,22.200000762939453
nld,2013,22.200000762939453
nzl,1996,3.5999999046325684
nzl,1997,3.5
nzl,1998,3.4000000953674316
nzl,1999,3.299999952316284
nzl,2000,3.200000047683716
nzl,2001,3.0999999046325684
nzl,2002,3.0
nzl,2003,3.0
nzl,2004,3.200000047683716
nzl,2005,3.200000047683716
nzl,2006,3.299999952316284
nzl,2007,3.4000000953674316
nzl,2008,3.299999952316284
nzl,2009,3.700000047683716
nzl,2010,3.700000047683716
nzl,2011,4.199999809265137
nzl,2012,4.0
nzl,2013,4.0
nor,1997,15.0
nor,1998,15.0
nor,1999,15.0
nor,2000,15.0
nor,2001,15.800000190734863
nor,2002,16.5
nor,2003,17.200000762939453
nor,2004,17.899999618530273
nor,2005,17.899999618530273
nor,2006,17.899999618530273
nor,2007,17.899999618530273
nor,2008,17.899999618530273
nor,2009,17.700000762939453
nor,2010,17.399999618530273
nor,2011,17.200000762939453
nor,2012,17.0
nor,2013,17.0
phl,1996,10.100000381469727
phl,1997,10.0
phl,1998,9.899999618530273
phl,1999,9.800000190734863
phl,2000,9.300000190734863
phl,2001,8.800000190734863
phl,2002,8.699999809265137
phl,2003,8.800000190734863
phl,2004,8.600000381469727
phl,2005,8.399999618530273
phl,2006,8.399999618530273
phl,2007,8.5
phl,2008,8.800000190734863
phl,2009,8.0
phl,2010,7.900000095367432
phl,2011,7.900000095367432
phl,2012,7.900000095367432
phl,2013,7.900000095367432
pol,1997,32.79999923706055
pol,1998,32.79999923706055
pol,1999,17.799999237060547
pol,2000,17.799999237060547
pol,2001,17.799999237060547
pol,2002,17.899999618530273
pol,2003,17.899999618530273
pol,2004,17.600000381469727
pol,2005,17.200000762939453
pol,2006,16.700000762939453
pol,2007,16.299999237060547
pol,2008,15.800000190734863
pol,2009,16.399999618530273
pol,2010,15.5
pol,2011,16.100000381469727
pol,2012,16.600000381469727
pol,2013,16.600000381469727
prt,1996,21.299999237060547
prt,1997,20.899999618530273
prt,1998,20.5
prt,1999,20.100000381469727
prt,2000,19.700000762939453
prt,2001,19.799999237060547
prt,2002,19.899999618530273
prt,2003,20.100000381469727
prt,2004,20.200000762939453
prt,2005,20.100000381469727
prt,2006,19.899999618530273
prt,2007,19.799999237060547
prt,2008,19.700000762939453
prt,2009,19.700000762939453
prt,2010,19.799999237060547
prt,2011,19.799999237060547
prt,2012,19.799999237060547
prt,2013,19.799999237060547
sgp,1996,22.200000762939453
sgp,1997,21.799999237060547
sgp,1998,20.5
sgp,1999,14.800000190734863
sgp,2000,15.5
sgp,2001,16.100000381469727
sgp,2002,16.100000381469727
sgp,2003,16.0
sgp,2004,15.199999809265137
sgp,2005,14.300000190734863
sgp,2006,14.600000381469727
sgp,2007,14.899999618530273
sgp,2008,15.5
sgp,2009,16.100000381469727
sgp,2010,16.200000762939453
sgp,2011,16.5
sgp,2012,16.700000762939453
sgp,2013,16.700000762939453
svk,1996,31.100000381469727
svk,1997,31.100000381469727
svk,1998,30.399999618530273
svk,1999,29.200000762939453
svk,2000,29.399999618530273
svk,2001,28.100000381469727
svk,2002,28.899999618530273
svk,2003,29.700000762939453
svk,2004,27.399999618530273
svk,2005,27.200000762939453
svk,2006,27.600000381469727
svk,2007,27.700000762939453
svk,2008,28.0
svk,2009,28.600000381469727
svk,2010,27.5
svk,2011,27.100000381469727
svk,2012,27.100000381469727
svk,2013,27.100000381469727
esp,1996,25.399999618530273
esp,1997,25.299999237060547
esp,1998,25.200000762939453
esp,1999,25.100000381469727
esp,2000,25.0
esp,2001,25.100000381469727
esp,2002,25.200000762939453
esp,2003,25.399999618530273
esp,2004,25.600000381469727
esp,2005,25.700000762939453
esp,2006,25.799999237060547
esp,2007,26.100000381469727
esp,2008,25.700000762939453
esp,2009,26.600000381469727
esp,2010,26.0
esp,2011,25.299999237060547
esp,2012,26.0
esp,2013,25.799999237060547
swe,1996,30.299999237060547
swe,1997,30.600000381469727
swe,1998,30.799999237060547
swe,1999,31.100000381469727
swe,2000,31.600000381469727
swe,2001,32.0
swe,2002,32.099998474121094
swe,2003,33.0
swe,2004,33.099998474121094
swe,2005,33.20000076293945
swe,2006,32.400001525878906
swe,2007,33.70000076293945
swe,2008,32.29999923706055
swe,2009,32.5
swe,2010,31.700000762939453
swe,2011,31.0
swe,2012,30.700000762939453
swe,2013,30.399999618530273
che,1996,15.399999618530273
che,1997,15.399999618530273
che,1998,15.399999618530273
che,1999,15.399999618530273
che,2000,15.399999618530273
che,2001,15.5
che,2002,15.600000381469727
che,2003,15.5
che,2004,15.399999618530273
che,2005,15.5
che,2006,15.5
che,2007,15.5
che,2008,15.5
che,2009,15.399999618530273
che,2010,15.300000190734863
che,2011,15.300000190734863
che,2012,18.399999618530273
che,2013,18.399999618530273
twn,1996,13.800000190734863
twn,1997,13.5
twn,1998,13.399999618530273
twn,1999,13.600000381469727
twn,2000,14.199999809265137
twn,2001,14.0
twn,2002,13.199999809265137
twn,2003,12.300000190734863
twn,2004,12.199999809265137
twn,2005,13.0
twn,2006,13.5
twn,2007,14.199999809265137
twn,2008,14.699999809265137
twn,2009,14.899999618530273
twn,2010,14.800000190734863
twn,2011,14.399999618530273
twn,2012,14.600000381469727
twn,2013,14.600000381469727
gbr,1996,18.200000762939453
gbr,1997,17.600000381469727
gbr,1998,17.0
gbr,1999,17.5
gbr,2000,17.299999237060547
gbr,2001,16.299999237060547
gbr,2002,15.399999618530273
gbr,2003,15.0
gbr,2004,14.300000190734863
gbr,2005,14.399999618530273
gbr,2006,14.600000381469727
gbr,2007,14.699999809265137
gbr,2008,14.800000190734863
gbr,2009,14.600000381469727
gbr,2010,14.300000190734863
gbr,2011,14.600000381469727
gbr,2012,14.600000381469727
gbr,2013,14.600000381469727
usa,1996,21.100000381469727
usa,1997,21.0
usa,1998,20.700000762939453
usa,1999,20.299999237060547
usa,2000,20.399999618530273
usa,2001,21.100000381469727
usa,2002,21.299999237060547
usa,2003,22.0
usa,2004,22.299999237060547
usa,2005,22.399999618530273
usa,2006,22.5
usa,2007,24.0
usa,2008,23.5
usa,2009,24.100000381469727
usa,2010,24.5
usa,2011,24.299999237060547
usa,2012,23.899999618530273
usa,2013,23.899999618530273
