country,year,total_hourly_direct_pay
arg,1996,5.949999809265137
arg,1997,6.130000114440918
arg,1998,6.510000228881836
arg,1999,6.670000076293945
arg,2000,6.78000020980835
arg,2001,6.909999847412109
arg,2002,2.4800000190734863
arg,2003,3.0199999809265137
arg,2004,3.7200000286102295
arg,2005,4.550000190734863
arg,2006,5.480000019073486
arg,2007,6.639999866485596
arg,2008,8.289999961853027
arg,2009,8.449999809265137
arg,2010,10.550000190734863
arg,2011,13.210000038146973
arg,2012,15.649999618530273
arg,2013,16.489999771118164
aus,1996,15.770000457763672
aus,1997,15.430000305175781
aus,1998,13.960000038146973
aus,1999,14.710000038146973
aus,2000,13.329999923706055
aus,2001,12.109999656677246
aus,2002,13.8100004196167
aus,2003,17.760000228881836
aus,2004,20.979999542236328
aus,2005,22.5
aus,2006,23.09000015258789
aus,2007,26.440000534057617
aus,2008,28.020000457763672
aus,2009,26.200000762939453
aus,2010,31.649999618530273
aus,2011,37.22999954223633
aus,2012,38.27000045776367
aus,2013,37.720001220703125
aut,1996,20.530000686645508
aut,1997,18.18000030517578
aut,1998,18.3700008392334
aut,1999,18.1299991607666
aut,2000,16.030000686645508
aut,2001,16.049999237060547
aut,2002,17.290000915527344
aut,2003,21.09000015258789
aut,2004,23.299999237060547
aut,2005,24.170000076293945
aut,2006,25.059999465942383
aut,2007,28.360000610351562
aut,2008,31.700000762939453
aut,2009,31.6200008392334
aut,2010,29.75
aut,2011,32.15999984741211
aut,2012,30.989999771118164
aut,2013,32.810001373291016
bel,1996,22.59000015258789
bel,1997,19.969999313354492
bel,1998,20.200000762939453
bel,1999,19.829999923706055
bel,2000,17.610000610351562
bel,2001,17.829999923706055
bel,2002,19.149999618530273
bel,2003,24.270000457763672
bel,2004,27.780000686645508
bel,2005,28.34000015258789
bel,2006,29.15999984741211
bel,2007,32.380001068115234
bel,2008,36.380001068115234
bel,2009,35.38999938964844
bel,2010,34.36000061035156
bel,2011,37.33000183105469
bel,2012,35.380001068115234
bel,2013,37.220001220703125
bra,1996,4.670000076293945
bra,1997,4.670000076293945
bra,1998,4.429999828338623
bra,1999,2.8299999237060547
bra,2000,2.930000066757202
bra,2001,2.440000057220459
bra,2002,2.0799999237060547
bra,2003,2.1600000858306885
bra,2004,2.5899999141693115
bra,2005,3.369999885559082
bra,2006,4.050000190734863
bra,2007,4.820000171661377
bra,2008,5.699999809265137
bra,2009,5.510000228881836
bra,2010,6.800000190734863
bra,2011,7.809999942779541
bra,2012,7.389999866485596
bra,2013,7.289999961853027
can,1996,15.720000267028809
can,1997,15.649999618530273
can,1998,15.100000381469727
can,1999,15.210000038146973
can,2000,15.670000076293945
can,2001,15.069999694824219
can,2002,15.050000190734863
can,2003,17.389999389648438
can,2004,19.389999389648438
can,2005,21.420000076293945
can,2006,23.09000015258789
can,2007,25.3700008392334
can,2008,25.889999389648438
can,2009,23.479999542236328
can,2010,27.469999313354492
can,2011,29.030000686645508
can,2012,29.290000915527344
can,2013,29.059999465942383
cze,1996,2.5
cze,1997,2.390000104904175
cze,1998,2.609999895095825
cze,1999,2.569999933242798
cze,2000,2.4800000190734863
cze,2001,2.7300000190734863
cze,2002,3.3499999046325684
cze,2003,4.099999904632568
cze,2004,4.760000228881836
cze,2005,5.360000133514404
cze,2006,5.980000019073486
cze,2007,7.190000057220459
cze,2008,8.970000267028809
cze,2009,8.300000190734863
cze,2010,8.34000015258789
cze,2011,9.329999923706055
cze,2012,8.720000267028809
cze,2013,8.930000305175781
dnk,1997,22.969999313354492
dnk,1998,23.40999984741211
dnk,1999,23.600000381469727
dnk,2000,21.06999969482422
dnk,2001,21.389999389648438
dnk,2002,23.260000228881836
dnk,2003,28.700000762939453
dnk,2004,32.189998626708984
dnk,2005,33.15999984741211
dnk,2006,34.36000061035156
dnk,2007,39.810001373291016
dnk,2008,44.54999923706055
dnk,2009,44.13999938964844
dnk,2010,43.369998931884766
dnk,2011,46.79999923706055
dnk,2012,43.90999984741211
dnk,2013,45.47999954223633
est,2000,1.899999976158142
est,2001,1.9900000095367432
est,2002,2.309999942779541
est,2003,3.049999952316284
est,2004,3.609999895095825
est,2005,4.099999904632568
est,2006,4.880000114440918
est,2007,6.460000038146973
est,2008,7.809999942779541
est,2009,7.28000020980835
est,2010,6.989999771118164
est,2011,7.710000038146973
est,2012,7.75
est,2013,8.619999885559082
fin,1996,19.209999084472656
fin,1997,17.299999237060547
fin,1998,17.459999084472656
fin,1999,17.34000015258789
fin,2000,15.6899995803833
fin,2001,16.1299991607666
fin,2002,17.65999984741211
fin,2003,22.09000015258789
fin,2004,25.489999771118164
fin,2005,26.420000076293945
fin,2006,27.469999313354492
fin,2007,30.549999237060547
fin,2008,33.88999938964844
fin,2009,34.31999969482422
fin,2010,32.25
fin,2011,35.08000183105469
fin,2012,33.439998626708984
fin,2013,35.47999954223633
fra,1996,19.40999984741211
fra,1997,17.329999923706055
fra,1998,17.3799991607666
fra,1999,16.8700008392334
fra,2000,14.800000190734863
fra,2001,14.739999771118164
fra,2002,15.899999618530273
fra,2003,19.540000915527344
fra,2004,22.030000686645508
fra,2005,22.530000686645508
fra,2006,23.479999542236328
fra,2007,26.469999313354492
fra,2008,29.190000534057617
fra,2009,27.799999237060547
fra,2010,27.270000457763672
fra,2011,29.829999923706055
fra,2012,28.309999465942383
fra,2013,29.829999923706055
deu,1996,25.3799991607666
deu,1997,22.34000015258789
deu,1998,22.239999771118164
deu,1999,21.3700008392334
deu,2000,19.59000015258789
deu,2001,19.600000381469727
deu,2002,21.270000457763672
deu,2003,26.209999084472656
deu,2004,28.959999084472656
deu,2005,29.510000228881836
deu,2006,30.309999465942383
deu,2007,34.060001373291016
deu,2008,37.16999816894531
deu,2009,35.689998626708984
deu,2010,34.2400016784668
deu,2011,37.130001068115234
deu,2012,36.06999969482422
deu,2013,38.369998931884766
grc,1996,9.65999984741211
grc,1997,8.90999984741211
grc,1998,8.630000114440918
grc,1999,8.75
grc,2000,7.690000057220459
grc,2001,6.989999771118164
grc,2002,8.619999885559082
grc,2003,10.670000076293945
grc,2004,12.420000076293945
grc,2005,11.869999885559082
grc,2006,12.859999656677246
grc,2007,15.229999542236328
grc,2008,17.700000762939453
grc,2009,17.420000076293945
grc,2010,17.170000076293945
grc,2011,17.399999618530273
grc,2012,14.920000076293945
grc,2013,14.579999923706055
hun,1996,2.059999942779541
hun,1997,2.0399999618530273
hun,1998,2.0899999141693115
hun,1999,2.119999885559082
hun,2000,2.059999942779541
hun,2001,2.359999895095825
hun,2002,2.9600000381469727
hun,2003,3.700000047683716
hun,2004,4.429999828338623
hun,2005,4.840000152587891
hun,2006,5.019999980926514
hun,2007,6.329999923706055
hun,2008,7.139999866485596
hun,2009,6.389999866485596
hun,2010,6.389999866485596
hun,2011,7.010000228881836
hun,2012,6.860000133514404
hun,2013,7.179999828338623
irl,1996,15.300000190734863
irl,1997,15.170000076293945
irl,1998,15.170000076293945
irl,1999,15.420000076293945
irl,2000,14.380000114440918
irl,2001,15.4399995803833
irl,2002,17.100000381469727
irl,2003,21.299999237060547
irl,2004,24.389999389648438
irl,2005,25.530000686645508
irl,2006,26.899999618530273
irl,2007,31.079999923706055
irl,2008,35.220001220703125
irl,2009,35.22999954223633
irl,2010,34.060001373291016
irl,2011,35.709999084472656
irl,2012,33.939998626708984
irl,2013,34.97999954223633
isr,1996,9.3100004196167
isr,1997,9.899999618530273
isr,1998,9.930000305175781
isr,1999,9.760000228881836
isr,2000,10.479999542236328
isr,2001,11.140000343322754
isr,2002,10.0
isr,2003,10.609999656677246
isr,2004,10.960000038146973
isr,2005,11.229999542236328
isr,2006,11.720000267028809
isr,2007,13.210000038146973
isr,2008,15.9399995803833
isr,2009,14.989999771118164
isr,2010,16.190000534057617
isr,2011,17.559999465942383
isr,2012,16.84000015258789
isr,2013,18.6200008392334
ita,1996,13.949999809265137
ita,1997,13.130000114440918
ita,1998,13.220000267028809
ita,1999,12.890000343322754
ita,2000,11.350000381469727
ita,2001,11.520000457763672
ita,2002,12.75
ita,2003,16.06999969482422
ita,2004,18.6299991607666
ita,2005,19.170000076293945
ita,2006,19.989999771118164
ita,2007,22.43000030517578
ita,2008,24.81999969482422
ita,2009,24.469999313354492
ita,2010,24.139999389648438
ita,2011,26.1299991607666
ita,2012,24.899999618530273
ita,2013,26.229999542236328
jpn,1996,20.079999923706055
jpn,1997,18.579999923706055
jpn,1998,17.309999465942383
jpn,1999,19.709999084472656
jpn,2000,20.8700008392334
jpn,2001,18.6299991607666
jpn,2002,17.770000457763672
jpn,2003,19.34000015258789
jpn,2004,20.809999465942383
jpn,2005,20.729999542236328
jpn,2006,19.729999542236328
jpn,2007,19.459999084472656
jpn,2008,22.540000915527344
jpn,2009,24.639999389648438
jpn,2010,26.010000228881836
jpn,2011,29.209999084472656
jpn,2012,28.950000762939453
jpn,2013,23.860000610351562
mex,1996,1.9800000190734863
mex,1997,2.2799999713897705
mex,1998,2.369999885559082
mex,1999,2.700000047683716
mex,2000,3.1600000858306885
mex,2001,3.5999999046325684
mex,2002,3.7799999713897705
mex,2003,3.609999895095825
mex,2004,3.609999895095825
mex,2005,3.890000104904175
mex,2006,4.059999942779541
mex,2007,4.28000020980835
mex,2008,4.46999979019165
mex,2009,3.9200000762939453
mex,2010,4.289999961853027
mex,2011,4.539999961853027
mex,2012,4.429999828338623
mex,2013,4.75
nld,1997,17.299999237060547
nld,1998,18.049999237060547
nld,1999,18.209999084472656
nld,2000,16.56999969482422
nld,2001,16.860000610351562
nld,2002,18.450000762939453
nld,2003,22.8799991607666
nld,2004,25.559999465942383
nld,2005,25.959999084472656
nld,2006,26.989999771118164
nld,2007,30.260000228881836
nld,2008,33.7400016784668
nld,2009,32.400001525878906
nld,2010,30.959999084472656
nld,2011,32.86000061035156
nld,2012,30.739999771118164
nld,2013,32.880001068115234
nzl,1996,11.670000076293945
nzl,1997,11.619999885559082
nzl,1998,9.670000076293945
nzl,1999,9.8100004196167
nzl,2000,8.670000076293945
nzl,2001,8.270000457763672
nzl,2002,9.4399995803833
nzl,2003,12.210000038146973
nzl,2004,14.279999732971191
nzl,2005,15.720000267028809
nzl,2006,15.210000038146973
nzl,2007,18.15999984741211
nzl,2008,18.190000534057617
nzl,2009,16.530000686645508
nzl,2010,19.6299991607666
nzl,2011,22.34000015258789
nzl,2012,23.90999984741211
nzl,2013,24.81999969482422
nor,1997,21.979999542236328
nor,1998,22.170000076293945
nor,1999,22.59000015258789
nor,2000,20.84000015258789
nor,2001,21.360000610351562
nor,2002,25.290000915527344
nor,2003,29.479999542236328
nor,2004,32.29999923706055
nor,2005,34.52000045776367
nor,2006,36.58000183105469
nor,2007,42.77000045776367
nor,2008,47.06999969482422
nor,2009,43.91999816894531
nor,2010,47.4900016784668
nor,2011,53.369998931884766
nor,2012,52.310001373291016
nor,2013,54.68000030517578
phl,1996,1.1799999475479126
phl,1997,1.1200000047683716
phl,1998,0.8600000143051147
phl,1999,0.949999988079071
phl,2000,0.8999999761581421
phl,2001,0.8799999952316284
phl,2002,0.9200000166893005
phl,2003,0.9300000071525574
phl,2004,0.9900000095367432
phl,2005,1.0800000429153442
phl,2006,1.2200000286102295
phl,2007,1.440000057220459
phl,2008,1.590000033378601
phl,2009,1.5499999523162842
phl,2010,1.7100000381469727
phl,2011,1.8300000429153442
phl,2012,1.909999966621399
phl,2013,1.9600000381469727
pol,1997,2.2100000381469727
pol,1998,2.4200000762939453
pol,1999,2.9100000858306885
pol,2000,2.9000000953674316
pol,2001,3.319999933242798
pol,2002,3.440000057220459
pol,2003,3.7100000381469727
pol,2004,4.039999961853027
pol,2005,4.75
pol,2006,5.269999980926514
pol,2007,6.539999961853027
pol,2008,8.260000228881836
pol,2009,6.650000095367432
pol,2010,7.150000095367432
pol,2011,7.599999904632568
pol,2012,7.230000019073486
pol,2013,7.710000038146973
prt,1996,5.579999923706055
prt,1997,5.090000152587891
prt,1998,5.289999961853027
prt,1999,5.260000228881836
prt,2000,4.739999771118164
prt,2001,4.829999923706055
prt,2002,5.320000171661377
prt,2003,6.5
prt,2004,7.340000152587891
prt,2005,7.579999923706055
prt,2006,7.940000057220459
prt,2007,8.949999809265137
prt,2008,10.029999732971191
prt,2009,9.899999618530273
prt,2010,9.630000114440918
prt,2011,10.619999885559082
prt,2012,9.930000305175781
prt,2013,10.34000015258789
sgp,1996,9.279999732971191
sgp,1997,9.510000228881836
sgp,1998,9.109999656677246
sgp,1999,9.380000114440918
sgp,2000,9.90999984741211
sgp,2001,10.239999771118164
sgp,2002,10.1899995803833
sgp,2003,10.710000038146973
sgp,2004,11.199999809265137
sgp,2005,11.359999656677246
sgp,2006,11.760000228881836
sgp,2007,13.369999885559082
sgp,2008,15.9399995803833
sgp,2009,14.710000038146973
sgp,2010,16.280000686645508
sgp,2011,19.290000915527344
sgp,2012,20.1200008392334
sgp,2013,19.950000762939453
svk,1996,1.8799999952316284
svk,1997,1.9600000381469727
svk,1998,2.009999990463257
svk,1999,1.8300000429153442
svk,2000,1.8300000429153442
svk,2001,1.9299999475479126
svk,2002,2.309999942779541
svk,2003,3.0799999237060547
svk,2004,3.7799999713897705
svk,2005,4.239999771118164
svk,2006,4.75
svk,2007,6.159999847412109
svk,2008,7.730000019073486
svk,2009,8.0
svk,2010,7.760000228881836
svk,2011,8.5600004196167
svk,2012,8.329999923706055
svk,2013,8.970000267028809
esp,1996,11.550000190734863
esp,1997,10.430000305175781
esp,1998,10.579999923706055
esp,1999,10.420000076293945
esp,2000,9.279999732971191
esp,2001,9.350000381469727
esp,2002,10.319999694824219
esp,2003,12.960000038146973
esp,2004,14.729999542236328
esp,2005,15.399999618530273
esp,2006,16.149999618530273
esp,2007,18.280000686645508
esp,2008,20.520000457763672
esp,2009,20.389999389648438
esp,2010,19.68000030517578
esp,2011,21.170000076293945
esp,2012,19.8700008392334
esp,2013,20.84000015258789
swe,1996,18.93000030517578
swe,1997,17.3799991607666
swe,1998,17.459999084472656
swe,1999,17.1299991607666
swe,2000,16.040000915527344
swe,2001,14.920000076293945
swe,2002,16.68000030517578
swe,2003,20.770000457763672
swe,2004,23.229999542236328
swe,2005,23.6299991607666
swe,2006,24.700000762939453
swe,2007,28.229999542236328
swe,2008,30.06999969482422
swe,2009,27.350000381469727
swe,2010,29.149999618530273
swe,2011,33.150001525878906
swe,2012,33.369998931884766
swe,2013,35.560001373291016
che,1996,30.059999465942383
che,1997,25.75
che,1998,26.229999542236328
che,1999,25.079999923706055
che,2000,22.799999237060547
che,2001,23.760000228881836
che,2002,26.219999313354492
che,2003,31.049999237060547
che,2004,33.310001373291016
che,2005,33.91999816894531
che,2006,34.54999923706055
che,2007,36.779998779296875
che,2008,41.56999969482422
che,2009,42.560001373291016
che,2010,43.290000915527344
che,2011,51.15999984741211
che,2012,50.0099983215332
che,2013,51.599998474121094
twn,1996,6.130000114440918
twn,1997,6.119999885559082
twn,1998,5.5
twn,1999,5.880000114440918
twn,2000,6.269999980926514
twn,2001,6.159999847412109
twn,2002,5.929999828338623
twn,2003,6.110000133514404
twn,2004,6.380000114440918
twn,2005,6.889999866485596
twn,2006,6.960000038146973
twn,2007,7.019999980926514
twn,2008,7.409999847412109
twn,2009,6.610000133514404
twn,2010,7.070000171661377
twn,2011,7.940000057220459
twn,2012,8.020000457763672
twn,2013,8.010000228881836
gbr,1996,14.539999961853027
gbr,1997,15.90999984741211
gbr,1998,17.15999984741211
gbr,1999,17.56999969482422
gbr,2000,17.059999465942383
gbr,2001,17.309999465942383
gbr,2002,18.649999618530273
gbr,2003,21.360000610351562
gbr,2004,24.40999984741211
gbr,2005,25.40999984741211
gbr,2006,26.639999389648438
gbr,2007,30.030000686645508
gbr,2008,28.8799991607666
gbr,2009,24.989999771118164
gbr,2010,24.84000015258789
gbr,2011,26.06999969482422
gbr,2012,26.3799991607666
gbr,2013,26.489999771118164
usa,1996,17.729999542236328
usa,1997,18.190000534057617
usa,1998,18.6200008392334
usa,1999,19.139999389648438
usa,2000,19.860000610351562
usa,2001,20.670000076293945
usa,2002,21.540000915527344
usa,2003,22.270000457763672
usa,2004,22.770000457763672
usa,2005,23.389999389648438
usa,2006,23.610000610351562
usa,2007,24.3700008392334
usa,2008,25.09000015258789
usa,2009,25.959999084472656
usa,2010,26.260000228881836
usa,2011,26.860000610351562
usa,2012,27.139999389648438
usa,2013,27.65999984741211
